127.0.0.1 - - [18/Oct/2019:17:59:59 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:01 +0530] "GET /Inventory/staffupdt HTTP/1.1" 405 1116
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:02 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/ HTTP/1.1" 200 20968
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/css/style.css HTTP/1.1" 200 49471
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/css/bootstrap.min.css HTTP/1.1" 200 144904
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/js/jquery-2.2.3.min.js HTTP/1.1" 200 85659
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/css/fontawesome-all.min.css HTTP/1.1" 200 34734
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/js/responsiveslides.min.js HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/css1/font-awesome.css HTTP/1.1" 200 29062
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/js/easing.js HTTP/1.1" 200 4758
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/js/move-top.js HTTP/1.1" 200 1330
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/images/3.jpg HTTP/1.1" 200 415194
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/images/1.jpg HTTP/1.1" 200 202044
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/images/2.jpg HTTP/1.1" 200 209471
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:11 +0530] "GET /Inventory/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:12 +0530] "GET /Inventory/images/4.jpg HTTP/1.1" 200 600601
0:0:0:0:0:0:0:1 - - [18/Oct/2019:18:00:12 +0530] "GET /Inventory/images/5.jpg HTTP/1.1" 200 528041
